;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-7;training_accuracy;training_loss
36;31.25;16.0;56.25;37.5;32.81;43.75;60.94;46.88;63.28;50.0;71.88;40.62;23.44;11.72;43.75;0.53;0.014182819402217864;37.5;23.0;56.25;37.5;37.5;45.31;60.94;57.03;66.41;50.0;75.78;42.97;24.22;12.5;43.75;0.57638;0.012073168771266938
37;31.25;16.0;56.25;37.5;32.81;43.75;60.94;47.66;63.28;50.0;72.66;41.41;24.22;11.72;43.75;0.5242;0.014357563710212708;37.5;23.0;56.25;37.5;35.94;45.31;62.5;57.03;66.41;50.0;75.78;42.97;24.22;12.5;43.75;0.57874;0.011851876010894775
38;31.25;16.0;56.25;37.5;32.81;43.75;60.94;47.66;63.28;50.0;72.66;41.41;24.22;11.72;43.75;0.5366;0.013981273293495178;37.5;23.0;56.25;37.5;35.94;43.75;60.94;57.03;66.41;50.0;75.78;43.75;24.22;12.5;43.75;0.58262;0.011730519807338715
39;31.25;16.0;56.25;37.5;32.81;43.75;60.94;47.66;63.28;50.0;72.66;42.19;24.22;11.72;43.75;0.5318;0.014105415511131286;37.5;23.0;56.25;37.5;35.94;43.75;60.94;57.03;66.41;50.0;76.56;43.75;24.22;12.5;43.75;0.58938;0.01158635187625885
40;31.25;17.0;56.25;37.5;32.81;43.75;60.94;48.44;63.28;50.0;72.66;42.19;25.0;11.72;43.75;0.5223;0.01458717713356018;37.5;23.0;56.25;37.5;35.94;43.75;60.94;57.03;66.41;50.0;76.56;43.75;25.0;12.5;43.75;0.59278;0.011465168490409851
41;31.25;17.0;56.25;37.5;32.81;43.75;60.94;48.44;63.28;50.0;73.44;42.19;25.0;11.72;40.62;0.5469;0.013712268376350404;37.5;23.0;56.25;37.5;35.94;43.75;60.94;57.03;66.41;50.0;76.56;44.53;25.0;12.5;43.75;0.59924;0.011265755088329315
42;32.81;17.0;56.25;37.5;32.81;43.75;60.94;48.44;64.06;50.0;73.44;42.97;25.0;12.5;40.62;0.5357;0.01422383474111557;37.5;23.0;56.25;34.38;35.94;43.75;60.94;57.03;66.41;50.0;76.56;44.53;25.0;12.5;43.75;0.60054;0.011236489367485046
43;32.81;17.0;56.25;37.5;32.81;43.75;60.94;49.22;64.06;50.0;73.44;42.97;25.0;12.5;40.62;0.5401;0.013890568172931671;37.5;24.0;56.25;34.38;35.94;43.75;60.94;57.03;66.41;50.0;76.56;45.31;25.78;12.5;40.62;0.60592;0.011069503300189971
44;32.81;17.0;56.25;37.5;32.81;43.75;60.94;49.22;64.06;50.0;74.22;43.75;25.78;12.5;40.62;0.5463;0.013720612478256226;39.06;24.0;56.25;34.38;35.94;43.75;60.94;57.03;66.41;50.0;76.56;45.31;25.78;13.28;40.62;0.60968;0.010881587986946106
45;32.81;17.0;56.25;37.5;32.81;42.19;60.94;49.22;64.06;50.0;74.22;43.75;25.78;12.5;40.62;0.5413;0.01391066379547119;39.06;24.0;56.25;34.38;34.38;42.19;60.94;57.03;66.41;50.0;76.56;45.31;25.78;13.28;40.62;0.61186;0.010876075694561005
46;32.81;17.0;56.25;37.5;32.81;42.19;59.38;50.0;64.06;50.0;74.22;44.53;25.78;12.5;40.62;0.5474;0.013845681154727936;39.06;24.0;56.25;34.38;34.38;42.19;60.94;57.03;66.41;50.0;76.56;46.09;25.78;13.28;40.62;0.61722;0.010719699401855468
47;32.81;17.0;56.25;37.5;32.81;42.19;60.94;50.0;64.06;50.0;74.22;44.53;26.56;12.5;40.62;0.547;0.013711411321163177;39.06;24.0;56.25;34.38;34.38;42.19;60.94;57.03;66.41;50.0;77.34;46.09;26.56;13.28;40.62;0.62148;0.010601815893650056
48;34.38;17.0;56.25;37.5;31.25;42.19;59.38;50.0;64.06;50.0;74.22;45.31;26.56;12.5;40.62;0.5481;0.013891397750377656;39.06;24.0;56.25;34.38;34.38;42.19;59.38;57.03;66.41;50.0;77.34;46.88;26.56;13.28;40.62;0.62416;0.010404983699321748
49;34.38;17.0;56.25;37.5;31.25;42.19;59.38;50.0;64.06;50.0;75.0;45.31;26.56;12.5;40.62;0.5478;0.013890911638736726;39.06;24.0;56.25;34.38;34.38;42.19;59.38;57.03;66.41;50.0;77.34;46.88;26.56;13.28;40.62;0.63262;0.010286756895780564
